itin_validatingcarrier,OBL_originairportcode,OBL_destinationairportcode,OBL_flightNumber,OBL_departdate,OBL_departtime,OBL_arrivedate,OBL_arrivetime,IBL_originairportcode,IBL_destinationairportcode,IBL_flightnumber,IBL_departdate,IBL_departtime,IBL_arrivedate,IBL_arrivetime,itin_cabin,itin_bookingcode,itin_totalamount,taxbreakdown,yq_val,yr_val,itin_true_tax_amount
"UA","EWR","NRT","79","20250911","1125","20250912","1430","NRT","EWR","78","20250918","1715","20250918","1650","E","L","1439.51","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|OI 4.80|SW 17.00|TK 6.90|YQ 380.00","380.0","0.0","102.50999999999999"
"B6","EWR","TPA","873","20250801","1452","20250801","1750","TPA","JFK","226","20250804","1440","20250804","1729","E","L","302.96","USD:AY 11.20|US 19.00|XF 9.00|ZP 10.40","0.0","0.0","49.6"
"AC","EWR","YYZ","3097","20250524","1203","20250524","1347","YYZ","EWR","4096","20250528","1500","20250528","1648","E","G","209.89","USD:AY 5.60|US 9.00|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","89.89"
"AC","LGA","YYZ","703","20250524","725","20250524","907","YYZ","EWR","3071","20250528","2000","20250528","2148","E","G","274.39","USD:AY 5.60|US 13.50|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","94.39"
"AC","EWR","YYZ","1399","20250524","1955","20250524","2145","YYZ","EWR","4096","20250528","1500","20250528","1648","E","G","285.14","USD:AY 5.60|US 14.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","95.14"
"AC","EWR","YYZ","3258","20250524","1704","20250524","1900","YYZ","EWR","3712","20250528","1800","20250528","1948","E","G","285.14","USD:AY 5.60|US 14.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","95.14"
"AC","EWR","YYZ","1399","20250524","1955","20250524","2145","YYZ","EWR","3283","20250528","1045","20250528","1223","E","G","285.14","USD:AY 5.60|US 14.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","95.14"
"TS","EWR","YTZ","7125","20250524","750","20250524","930","YTZ","EWR","7442","20250528","1500","20250528","1630","E","Q","287.19","USD:AY 5.60|US 14.85|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 21.00|ZP 10.40|RC 2.73","0.0","0.0","89.19"
"AC","LGA","YYZ","8997","20250524","1945","20250524","2127","YYZ","EWR","4096","20250528","1500","20250528","1648","E","K","288.37","USD:AY 5.60|US 14.48|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","95.37"
"AC","LGA","YYZ","707","20250524","1030","20250524","1212","YYZ","EWR","3712","20250528","1800","20250528","1948","E","L","305.57","USD:AY 5.60|US 15.68|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","96.57"
