Key: RAP, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@d1c8769e, recordType=Passenger Facility Charge Record, recordKey=RAP, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jun-2006#1149134400000/01-Jun-2033#2001211200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: JAX, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@b13b9535, recordType=Passenger Facility Charge Record, recordKey=JAX, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-May-2003#1051761600000/01-Oct-2029#1885521600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: TVC, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@4da0dbdc, recordType=Passenger Facility Charge Record, recordKey=TVC, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Feb-2017#1485925200000/01-May-2032#1966996800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: GLH, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@6447c35d, recordType=Passenger Facility Charge Record, recordKey=GLH, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2020#1593576000000/01-Jul-2030#1909108800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: STC, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@f010a19f, recordType=Passenger Facility Charge Record, recordKey=STC, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2002#1025496000000/01-Mar-2060#2845342800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: CDC, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@4dfb99bc, recordType=Passenger Facility Charge Record, recordKey=CDC, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Feb-2012#1328072400000/01-Aug-2043#2322014400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: KTN, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@a0a1304, recordType=Passenger Facility Charge Record, recordKey=KTN, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2019#1554091200000/01-Aug-2054#2669169600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: IPL, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@7f2bfe6a, recordType=Passenger Facility Charge Record, recordKey=IPL, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2003#1049173200000/01-Apr-2030#1901246400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: TVF, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@e5936ba, recordType=Passenger Facility Charge Record, recordKey=TVF, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jun-2003#1054440000000/01-Nov-2046#2424657600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: TEX, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@ea95e84f, recordType=Passenger Facility Charge Record, recordKey=TEX, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Feb-2020#1580533200000/01-Mar-2030#1898571600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: HNL, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@534ff84, recordType=Passenger Facility Charge Record, recordKey=HNL, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=06-Jun-2018#1528257600000/01-Jul-2039#2193105600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: STL, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@8b872186, recordType=Passenger Facility Charge Record, recordKey=STL, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Dec-2001#1007182800000/01-Aug-2028#1848715200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: XNA, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@4b80d199, recordType=Passenger Facility Charge Record, recordKey=XNA, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2001#986101200000/01-Sep-2047#2450923200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: IPT, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@cf198cb7, recordType=Passenger Facility Charge Record, recordKey=IPT, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Nov-2013#1383278400000/01-Sep-2028#1851393600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: MHK, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@d94595ba, recordType=Passenger Facility Charge Record, recordKey=MHK, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2002#1014958800000/01-Apr-2035#2059012800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: STT, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3c47187f, recordType=Passenger Facility Charge Record, recordKey=STT, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2012#1333252800000/01-Oct-2031#1948593600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: STS, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@d760670c, recordType=Passenger Facility Charge Record, recordKey=STS, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2013#1372651200000/01-Apr-2049#2500862400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: PNS, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@1a6422a4, recordType=Passenger Facility Charge Record, recordKey=PNS, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Nov-2002#1036126800000/01-Oct-2031#1948593600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SDF, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@65fef048, recordType=Passenger Facility Charge Record, recordKey=SDF, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-May-2019#1556683200000/01-Jan-2028#1830315600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: DFW, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@22ad0469, recordType=Passenger Facility Charge Record, recordKey=DFW, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2002#1025496000000/01-Oct-2038#2169518400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: LWB, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@9d69b996, recordType=Passenger Facility Charge Record, recordKey=LWB, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2011#1301630400000/01-Dec-2042#2301022800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: MHT, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@9ababaad, recordType=Passenger Facility Charge Record, recordKey=MHT, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=07-Nov-2020#1604725200000/01-Jul-2036#2098497600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: LFT, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3a603674, recordType=Passenger Facility Charge Record, recordKey=LFT, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Oct-2017#1506830400000/01-Aug-2029#1880251200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: CEC, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@f78cc41d, recordType=Passenger Facility Charge Record, recordKey=CEC, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Dec-2014#1417410000000/01-Jun-2027#1811822400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: TWF, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@57dd09a7, recordType=Passenger Facility Charge Record, recordKey=TWF, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2007#1183262400000/01-Jan-2028#1830315600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: EYW, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3e5fdef5, recordType=Passenger Facility Charge Record, recordKey=EYW, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=23-May-2007#1179892800000/01-Feb-2057#2748229200000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=Y0, flights=[501..510]), FlightRange(carrier=Y0, flights=[401..410])])])
Key: OMA, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@73e3a428, recordType=Passenger Facility Charge Record, recordKey=OMA, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Feb-2018#1517461200000/01-Jul-2044#2350958400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: MIA, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@ce97d08a, recordType=Passenger Facility Charge Record, recordKey=MIA, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=31-Oct-2024#1730347200000/01-Jan-2039#2177470800000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=B6, flights=[5225..5349]), FlightRange(carrier=9B, flights=[3000..3999])])])
Key: LGB, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@75242306, recordType=Passenger Facility Charge Record, recordKey=LGB, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-May-2008#1209614400000/01-Dec-2039#2206328400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: MYR, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@2068f762, recordType=Passenger Facility Charge Record, recordKey=MYR, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jun-2010#1275364800000/01-Oct-2032#1980216000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: LGA, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@400511ec, recordType=Passenger Facility Charge Record, recordKey=LGA, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2006#1143867600000/01-Apr-2026#1775016000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: LWS, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@5488b62b, recordType=Passenger Facility Charge Record, recordKey=LWS, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Sep-2022#1662004800000/01-Aug-2025#1754020800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: JST, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@39c1e8ad, recordType=Passenger Facility Charge Record, recordKey=JST, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2007#1183262400000/01-Dec-2035#2080098000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: IAD, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@c4215591, recordType=Passenger Facility Charge Record, recordKey=IAD, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-May-2001#988689600000/01-Dec-2038#2174792400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SUN, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@671f93d3, recordType=Passenger Facility Charge Record, recordKey=SUN, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Dec-2024#1733029200000/01-Apr-2026#1775016000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SEA, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@ff67e71f, recordType=Passenger Facility Charge Record, recordKey=SEA, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=16-Oct-2009#1255665600000/01-Jan-2043#2303701200000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=M5, flights=[100..9999])])])
Key: IAG, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@a25390e4, recordType=Passenger Facility Charge Record, recordKey=IAG, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Feb-2025#1738386000000/01-Jun-2026#1780286400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: HOU, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@c3b6d170, recordType=Passenger Facility Charge Record, recordKey=HOU, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=26-Oct-2021#1635220800000/01-Jan-2042#2272165200000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=B6, flights=[5225..5349])])])
Key: IAH, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@91554b94, recordType=Passenger Facility Charge Record, recordKey=IAH, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=06-Jun-2019#1559793600000/01-Apr-2039#2185243200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: RST, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@f24e8472, recordType=Passenger Facility Charge Record, recordKey=RST, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=16-Jun-2017#1497585600000/01-Jul-2026#1782878400000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=SY, flights=[1600..1699])])])
Key: CVG, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@9fa6c4b3, recordType=Passenger Facility Charge Record, recordKey=CVG, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jan-2013#1357016400000/01-Apr-2026#1775016000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SUX, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@589fd006, recordType=Passenger Facility Charge Record, recordKey=SUX, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=28-May-2005#1117252800000/01-Oct-2044#2358907200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: RSW, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@2a329e43, recordType=Passenger Facility Charge Record, recordKey=RSW, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Nov-2003#1067662800000/01-Jul-2060#2855880000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: CEZ, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3dad9182, recordType=Passenger Facility Charge Record, recordKey=CEZ, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2008#1204347600000/01-Jun-2030#1906516800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: BTM, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@579049a7, recordType=Passenger Facility Charge Record, recordKey=BTM, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2010#1267419600000/01-Mar-2036#2087960400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: UIN, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@cf13a41, recordType=Passenger Facility Charge Record, recordKey=UIN, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jan-2008#1199163600000/01-Jun-2052#2600827200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: BTR, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@5f545ce8, recordType=Passenger Facility Charge Record, recordKey=BTR, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=06-Oct-2005#1128571200000/01-Jul-2031#1940644800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ART, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@fa287af1, recordType=Passenger Facility Charge Record, recordKey=ART, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2017#1491019200000/01-Jan-2031#1925010000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ABE, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3866863f, recordType=Passenger Facility Charge Record, recordKey=ABE, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=14-Aug-2021#1628913600000/01-Jun-2033#2001211200000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=UA, flights=[6380..6384])])])
Key: BTV, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@4c120376, recordType=Passenger Facility Charge Record, recordKey=BTV, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Dec-2009#1259643600000/01-Jan-2030#1893474000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: TXK, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@afd95d32, recordType=Passenger Facility Charge Record, recordKey=TXK, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Oct-2019#1569902400000/01-Sep-2025#1756699200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: PPG, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@9a917d61, recordType=Passenger Facility Charge Record, recordKey=PPG, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=02-Jun-2006#1149220800000/01-Feb-2026#1769922000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: FLL, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@f9c2276d, recordType=Passenger Facility Charge Record, recordKey=FLL, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Oct-2005#1128139200000/01-Dec-2035#2080098000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: HPN, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@120fb7e5, recordType=Passenger Facility Charge Record, recordKey=HPN, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=26-Oct-2021#1635220800000/01-Sep-2026#1788235200000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=B6, flights=[5225..5349])])])
