Route,Itin_TotalPrice,Channel,Calculated_TaxLadder,Timestamp
"DFW(AA61 20250924 1145:20250925 1500)NRT / NRT(AA60 20250927 1830:20250927 1615)DFW",1704.21,American Airlines,"USD:AY 5.60|OI 4.80|SW 17.00|TK 6.90|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20",2025-06-27 16:01:59
"PHL(AA728 20250924 2215:20250925 1020)LHR / LHR(AA729 20251001 1005:20251001 1305)PHL",885.51,American Airlines,"USD:AY 5.60|GB 122.40|UB 70.30|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20",2025-06-27 16:01:59
"DEL(AY122 20251009 740:20251009 1425)HEL-HEL(AY1305 20251009 1600:20251009 1735)AMS / AMS(AY1302 20251016 1155:20251016 1515)HEL-HEL(AY121 20251016 1830:20251017 520)DEL",64820.0,GDS,"USD:CJ 2227.00|DQ 599.00|IN 1092.00|K3 2487.43|P2 1219.00|RN 3163.00|VV 2938.00|WL 1166.00|XU 180.00",2025-06-27 16:01:59
"DEL(EY213 20251009 920:20251009 1130)AUH-AUH(EY41 20251009 1405:20251009 1915)AMS / AMS(EY42 20251016 2200:20251017 620)AUH-AUH(EY214 20251017 855:20251017 1410)DEL",69097.0,GDS,"USD:CJ 2227.00|F6 2110.00|IN 1092.00|K3 2672.00|P2 1219.00|RN 3163.00|VV 2938.00|ZR 236.00",2025-06-27 16:01:59
"DEL(AI155 20251009 1320:20251009 1835)AMS / AMS(AI156 20251016 2040:20251017 815)DEL",61500.0,GDS,"USD:CJ 2227.00|IN 1092.00|K3 2421.95|P2 1219.00|RN 3163.00|VV 2938.00",2025-06-27 16:01:59
"DEL(TK717 20251009 620:20251009 1030)IST-IST(TK1961 20251009 1330:20251009 1610)AMS / AMS(TK1958 20251016 1440:20251016 1910)IST-IST(TK716 20251016 2020:20251017 440)DEL",84287.0,GDS,"USD:CJ 2227.00|IN 1092.00|K3 3440.38|M6 400.00|P2 1219.00|RN 3163.00|TR 1000.00|VV 2938.00",2025-06-27 16:01:59
"DEL(AY122 20251009 740:20251009 1425)HEL-HEL(AY1305 20251009 1600:20251009 1735)AMS / AMS(AY1302 20251016 1155:20251016 1515)HEL-HEL(AY121 20251016 1830:20251017 520)DEL",79546.0,GDS,"USD:CJ 2227.00|DQ 599.00|IN 1092.00|K3 3188.67|P2 1219.00|RN 3163.00|VV 2938.00|WL 1166.00|XU 180.00",2025-06-27 16:01:59
"DEL(AI155 20251009 1320:20251009 1835)AMS / AMS(AI156 20251016 2040:20251017 815)DEL",72000.0,GDS,"USD:CJ 2227.00|IN 1092.00|K3 2921.95|P2 1219.00|RN 3163.00|VV 2938.00",2025-06-27 16:01:59
"DEL(EY213 20251009 920:20251009 1130)AUH-AUH(EY41 20251009 1405:20251009 1915)AMS / AMS(EY42 20251016 2200:20251017 620)AUH-AUH(EY214 20251017 855:20251017 1410)DEL",66378.0,GDS,"USD:CJ 2227.00|F6 2110.00|IN 1092.00|K3 2542.52|P2 1219.00|RN 3163.00|VV 2938.00|ZR 236.00",2025-06-27 16:01:59
"DEL(LO72 20251009 800:20251009 1250)WAW-WAW(LO267 20251009 1645:20251009 1850)AMS / AMS(LO266 20251016 1030:20251016 1230)WAW-WAW(LO71 20251016 1550:20251017 255)DEL",66836.0,GDS,"USD:CJ 2227.00|IN 1092.00|K3 2476.81|ND 74.00|P2 1219.00|RN 3163.00|VV 2938.00|XW 4110.00",2025-06-27 16:01:59
