"validatingcarrier","originairportcode","destinationairportcode","flightNumber","departdate","departtime","arrivedate","arrivetime","originairportcode","destinationairportcode","flightnumber","departdate","departtime","arrivedate","arrivetime","cabin","bookingcode","totalamount","taxbreakdown","yq_val","yr_val","true_tax_amount"
"AA","LGA","IND","4793","20250517","1529","20250517","1752","IND","LGA","4565","20250518","1143","20250518","1345","E","G","600.97","USD:AY 11.20|US 39.79|XF 9.00|ZP 10.40","0.0","0.0","70.39"
"VS","JFK","LHR","138","20250602","2325","20250603","1125","LGW","JFK","4062","20250606","1200","20250606","1510","E","T","921.71","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|GB 119.80|UB 27.10|YQ 480.00|YR 10.00","480.0","10.0","220.71000000000004"
"UA","LAX","YVR","8417","20250515","1430","20250515","1729","YVR","LAX","8440","20250526","815","20250526","1117","E","S","527.26","USD:AY 5.60|US 31.95|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.10|SQ 17.90|ZP 10.40|XG 0.90","0.0","0.0","101.26"
"UA","LAX","SFO","2019","20250519","1615","20250519","1745","SFO","LAX","1095","20250521","1330","20250521","1507","E","L","264.96","USD:AY 11.20|US 16.35|XF 9.00|ZP 10.40","0.0","0.0","46.95"
"UA","LAX","SFO","2019","20250519","1615","20250519","1745","SFO","SNA","589","20250521","1910","20250521","2049","E","L","313.97","USD:AY 11.20|US 19.77|XF 9.00|ZP 10.40","0.0","0.0","50.37"
"AA","SNA","SFO","9315","20250519","1115","20250519","1244","SFO","LAX","6411","20250521","1010","20250521","1143","E","Y","843.77","USD:AY 11.20|US 56.73|XF 9.00|ZP 10.40","0.0","0.0","87.33"
"HA","SNA","SFO","7119","20250519","1115","20250519","1244","SFO","SNA","7037","20250521","858","20250521","1035","E","U","186.6","USD:AY 11.20|US 10.88|XF 9.00|ZP 10.40","0.0","0.0","41.48"
"HA","LAX","SFO","6212","20250519","600","20250519","731","SFO","SNA","6697","20250521","1010","20250521","1145","E","U","203.6","USD:AY 11.20|US 12.07|XF 9.00|ZP 10.40","0.0","0.0","42.67"
"HA","LAX","SJC","6215","20250519","1950","20250519","2105","SFO","LAX","6995","20250521","600","20250521","734","E","U","247.6","USD:AY 11.20|US 15.14|XF 9.00|ZP 10.40","0.0","0.0","45.74"
"UA","EWR","LAS","323","20250623","1300","20250623","1526","LAS","EWR","2496","20250701","1359","20250701","2159","E","K","350.96","USD:AY 11.20|US 22.35|XF 9.00|ZP 10.40","0.0","0.0","52.95"
"BA","JFK","LHR","1515","20251110","2140","20251111","940","LHR","JFK","1510","20251116","1705","20251116","2010","E","O","605.91","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|GB 119.80|UB 68.80|YQ 304.50|YR 10.00","304.5","10.0","262.40999999999997"
"DL","JFK","LHR","5996","20251110","820","20251110","2010","LHR","JFK","5991","20251116","2000","20251116","2259","E","V","753.41","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|GB 119.80|UB 68.80|YQ 10.00|YR 280.00","10.0","280.0","262.40999999999997"
"AF","JFK","LHR","9924","20251110","2015","20251111","840","LHR","JFK","9655","20251116","2000","20251116","2259","E","V","805.41","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|GB 119.80|UB 68.80|YQ 52.00|YR 290.00","52.0","290.0","262.40999999999997"
