{key='YT,O4,001,109882.23dcd43832d2c5928461b47f7fdb67a9', nation='YT', taxCode='O4', percentOrFlatTag=Flat Tax, seqNo=109882, taxCarrier='AF', taxAmount=9.00, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IE,UP,001,2569.be63601d7a7a86a964f616c30e37ea67', nation='IE', taxCode='UP', percentOrFlatTag=Flat Tax, seqNo=2569, taxCarrier='5F', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CR,CR,002,920000.094bbd5b4eb110dfe0c6ae0c2d210c40', nation='CR', taxCode='CR', percentOrFlatTag=Percent Tax, seqNo=920000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,WG,001,791250.37be77d6c1ee98984dca9bbf6bcd28f9', nation='AU', taxCode='WG', percentOrFlatTag=Flat Tax, seqNo=791250, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IT,IT,003,695000.0695df2cc41cf335f5c097d603d9eed4', nation='IT', taxCode='IT', percentOrFlatTag=Flat Tax, seqNo=695000, taxCarrier='YY', taxAmount=3.08, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='JP,HJ,001,20370.acde9013a0b1be9899f99cff1d210ad5', nation='JP', taxCode='HJ', percentOrFlatTag=Flat Tax, seqNo=20370, taxCarrier='JL', taxAmount=440, taxAmountCurrency='JPY', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IN,IN,001,212500.cae838840c7538d9f00c9987fc6deab7', nation='IN', taxCode='IN', percentOrFlatTag=Flat Tax, seqNo=212500, taxCarrier='YY', taxAmount=856, taxAmountCurrency='INR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='US,YC,001,8342.0bd1960ef27b2597a5af6408968b0145', nation='US', taxCode='YC', percentOrFlatTag=Flat Tax, seqNo=8342, taxCarrier='HA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AZ,JB,001,25026.1eca9131a1c775d1004ca57564d98cca', nation='AZ', taxCode='JB', percentOrFlatTag=Flat Tax, seqNo=25026, taxCarrier='J2', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AR,DL,011,50050.1eb0e06d04cf249da4557ba959a041c8', nation='AR', taxCode='DL', percentOrFlatTag=Percent Tax, seqNo=50050, taxCarrier='AA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MV,BQ,001,1325.e6c9f50ea6c6e0e8e3d51e76585aa720', nation='MV', taxCode='BQ', percentOrFlatTag=Flat Tax, seqNo=1325, taxCarrier='EY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
