{key='GB,UB,001,4331249.acb2ec52bc790ec93ca37227dad53c33', nation='GB', taxCode='UB', percentOrFlatTag=Flat Tax, seqNo=4331249, taxCarrier='EK', taxAmount=20.40, taxAmountCurrency='GBP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XV,001,5848.0b93259a2bb4933aeea3d52eca0a0dd2', nation='MX', taxCode='XV', percentOrFlatTag=Flat Tax, seqNo=5848, taxCarrier='AM', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XV,001,240000.2375917f2e3cb31f2d13c709c7f04330', nation='MX', taxCode='XV', percentOrFlatTag=Flat Tax, seqNo=240000, taxCarrier='YY', taxAmount=445, taxAmountCurrency='MXN', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XV,001,240000.a5f2e5b170b0cb6c8e33c1d711bf1817', nation='MX', taxCode='XV', percentOrFlatTag=Flat Tax, seqNo=240000, taxCarrier='YY', taxAmount=445, taxAmountCurrency='MXN', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='DO,VB,001,176.09477d3140a621599d400ecbdfba855d', nation='DO', taxCode='VB', percentOrFlatTag=Flat Tax, seqNo=176, taxCarrier='AA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CR,CR,003,765000.1e5e01529555757cd6b0cfdf815cbfdf', nation='CR', taxCode='CR', percentOrFlatTag=Percent Tax, seqNo=765000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XV,001,567500.9f57acb33750b0564cdc39c827460b30', nation='MX', taxCode='XV', percentOrFlatTag=Flat Tax, seqNo=567500, taxCarrier='YY', taxAmount=28.30, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XV,001,567500.e7642b4525d72356b52437b919a31df1', nation='MX', taxCode='XV', percentOrFlatTag=Flat Tax, seqNo=567500, taxCarrier='YY', taxAmount=28.60, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GR,WP,001,744101.e94d7bc54eb3a0e28aaec1e567c3f696', nation='GR', taxCode='WP', percentOrFlatTag=Flat Tax, seqNo=744101, taxCarrier='YY', taxAmount=15.50, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,MX,006,597550.c9f47bd7e134f9c9282ae71f749fb780', nation='MX', taxCode='MX', percentOrFlatTag=Percent Tax, seqNo=597550, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=16.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PF,Q8,001,121796.1b1b33744f72e6b8b86092a00d3ebf30', nation='PF', taxCode='Q8', percentOrFlatTag=Flat Tax, seqNo=121796, taxCarrier='VT', taxAmount=3100, taxAmountCurrency='XPF', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CA,RC,005,255000.65519b4eedd22aaa31d874059efd31a6', nation='CA', taxCode='RC', percentOrFlatTag=Percent Tax, seqNo=255000, taxCarrier='AC', taxAmount=null, taxAmountCurrency='null', taxPercent=15.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PF,Q8,001,121796.9522234f0496a8c09ed572fa69bfd962', nation='PF', taxCode='Q8', percentOrFlatTag=Flat Tax, seqNo=121796, taxCarrier='VT', taxAmount=3100, taxAmountCurrency='XPF', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IN,IN,001,108016.d6ab86939d6d329d73bd19a8b773d4af', nation='IN', taxCode='IN', percentOrFlatTag=Flat Tax, seqNo=108016, taxCarrier='YY', taxAmount=1322, taxAmountCurrency='INR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IN,IN,001,108016.b91d781ef8407fbfd2c294605de17b5d', nation='IN', taxCode='IN', percentOrFlatTag=Flat Tax, seqNo=108016, taxCarrier='YY', taxAmount=1322, taxAmountCurrency='INR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,1934726.dbf0013a4db0bd2c58be2fc0fd5ca911', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=1934726, taxCarrier='YY', taxAmount=14.50, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,1224062.22956f0ac85904ba774fdda6d00a5fb8', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=1224062, taxCarrier='YY', taxAmount=4.21, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,1224062.97496c823373e998b37570eb7d060159', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=1224062, taxCarrier='YY', taxAmount=4.21, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,FR,007,451230.66dc1c9ad31bbdaac00daf47a7357df5', nation='FR', taxCode='FR', percentOrFlatTag=Flat Tax, seqNo=451230, taxCarrier='YY', taxAmount=18.20, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,FR,007,451230.9a7f71c6fcd338c66e35e8a0490283f8', nation='FR', taxCode='FR', percentOrFlatTag=Flat Tax, seqNo=451230, taxCarrier='YY', taxAmount=18.20, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GD,OS,001,75025.bed68cd5074c7b61402c339801fad335', nation='GD', taxCode='OS', percentOrFlatTag=Flat Tax, seqNo=75025, taxCarrier='B6', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='US,AY,001,490.274b0049b246f1af4635709583decb13', nation='US', taxCode='AY', percentOrFlatTag=Flat Tax, seqNo=490, taxCarrier='3M', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='SA,E3,001,109784.8bbdc3283fdcb41955ee6a2d023f30fe', nation='SA', taxCode='E3', percentOrFlatTag=Flat Tax, seqNo=109784, taxCarrier='J2', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,IZ,001,30912.70415c6a4fe674c64395dbc254aaf54d', nation='FR', taxCode='IZ', percentOrFlatTag=Flat Tax, seqNo=30912, taxCarrier='SK', taxAmount=1.13, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
